;precision;recall;f1-score;support
0;0.968141592920354;0.9302721088435374;0.9488291413703382;588.0
1;0.856140350877193;0.9312977099236641;0.8921389396709324;262.0
accuracy;0.9305882352941176;0.9305882352941176;0.9305882352941176;0.9305882352941176
macro avg;0.9121409718987734;0.9307849093836007;0.9204840405206354;850.0
weighted avg;0.9336188571376384;0.9305882352941176;0.9313552203759331;850.0
